gene	p_val	avg_diff	pct.1	pct.2	CellType	Exp	Exp+
Cd8b1	1.39461E-54	1.850452257	0.344	0.008	InnateLymphoid	1.869655468	2.830825273
Cish	2.97848E-54	1.437796379	0.422	0.012	InnateLymphoid	1.457445173	2.175922103
Xcl1	3.69802E-54	1.816840361	0.281	0.002	InnateLymphoid	1.818942994	2.96350072
Ptpn22	2.92454E-53	1.261448369	0.359	0.01	InnateLymphoid	1.274991557	2.101133668
Cd8a	4.24756E-53	1.610651316	0.312	0	InnateLymphoid	1.611198916	2.626710049
Rpl18a	9.25454E-53	1.45606775	0.984	0.726	InnateLymphoid	3.388496251	3.403716978
Grap	2.04917E-52	1.268335897	0.438	0.004	InnateLymphoid	1.282091805	1.939085631
Ltb	9.09369E-52	1.22645744	0.344	0.001	InnateLymphoid	1.228699585	2.083264555
Bcl11b	1.2872E-49	1.19223323	0.406	0.004	InnateLymphoid	1.203805619	1.908388962
Rpl37a	1.56428E-49	1.348612964	0.969	0.697	InnateLymphoid	3.187474652	3.217932643
Il18rap	4.22494E-49	1.124330591	0.312	0	InnateLymphoid	1.125681449	2.036457451
Rpl35a	8.39444E-49	1.438367845	0.938	0.558	InnateLymphoid	2.852872102	2.913799209
Il7r	2.06085E-48	1.111980116	0.281	0.002	InnateLymphoid	1.11444425	2.114003493
Pkp3	3.50149E-48	1.052302182	0.359	0.003	InnateLymphoid	1.057635166	1.829386166
Cd5	1.35413E-47	0.997456255	0.281	0	InnateLymphoid	0.997725308	1.958330776
Traf3ip3	1.40164E-47	0.999517936	0.312	0.001	InnateLymphoid	1.001726389	1.873881831
Ptpn7	2.28625E-47	1.4810202	0.469	0.007	InnateLymphoid	1.528328688	2.163590234
Rpl29	3.75523E-47	1.453957178	0.859	0.358	InnateLymphoid	2.309102193	2.446582425
Cd6	4.76357E-47	0.990101528	0.266	0	InnateLymphoid	0.990101528	1.997150245
Klrk1	5.55793E-47	1.144457647	0.297	0	InnateLymphoid	1.145503306	2.106810258
Rps15a	1.30892E-46	1.311719959	0.984	0.754	InnateLymphoid	3.487774697	3.503045302
Amica1	2.4189E-46	1.264557352	0.312	0.001	InnateLymphoid	1.267241368	2.215210485
Rpl38	2.70464E-46	1.33151233	0.953	0.659	InnateLymphoid	3.007461018	3.053151128
Sla	2.77503E-46	1.029600746	0.328	0.002	InnateLymphoid	1.034133411	1.875536852
Ctsw	4.18147E-46	1.245297966	0.297	0.001	InnateLymphoid	1.247190546	2.235968617
Rinl	5.65609E-46	1.224581121	0.344	0.006	InnateLymphoid	1.235798138	2.092043231
Rps11	8.60362E-46	1.480481634	0.953	0.589	InnateLymphoid	3.12656209	3.172512863
Rpl21	1.66789E-45	1.312344068	0.938	0.729	InnateLymphoid	3.313922779	3.376185387
Clec2i	7.41906E-45	0.975025475	0.312	0.001	InnateLymphoid	0.977641404	1.841529101
Gm19585	1.27682E-44	1.031718046	0.25	0	InnateLymphoid	1.031845174	2.107172976
Slfn1	1.84185E-44	1.015617982	0.266	0	InnateLymphoid	1.015934225	2.032506523
Arhgap9	2.01614E-44	1.010145038	0.328	0.002	InnateLymphoid	1.014654465	1.849865492
Il2rb	3.59838E-44	1.044863342	0.281	0	InnateLymphoid	1.045645692	2.022981744
Gm4759	4.62963E-44	1.315017093	0.344	0.001	InnateLymphoid	1.323884802	2.199804555
S1pr4	1.3914E-43	0.850263981	0.266	0	InnateLymphoid	0.851110071	1.800580352
Stk17b	2.17892E-43	1.411512683	0.5	0.125	InnateLymphoid	1.635151068	2.225754361
Ppp1r18	3.44573E-43	1.404603116	0.516	0.032	InnateLymphoid	1.488239124	2.034802731
Rplp2	5.86642E-43	1.27528441	0.984	0.728	InnateLymphoid	3.393773682	3.408997187
Rpl11	1.01194E-42	1.110049105	1	0.767	InnateLymphoid	3.171472805	3.171472805
Dusp2	1.30246E-42	1.674316042	0.438	0.018	InnateLymphoid	1.731365733	2.453143264
Tespa1	4.66086E-42	0.831542426	0.25	0	InnateLymphoid	0.831703381	1.822759604
Icos	4.95246E-42	1.230829321	0.312	0.002	InnateLymphoid	1.235818464	2.176094043
Inpp4b	1.00474E-41	1.161395599	0.406	0.03	InnateLymphoid	1.210235526	1.916207272
Tnfrsf18	1.18033E-41	0.846942318	0.266	0	InnateLymphoid	0.847780492	1.795726333
Ikzf3	1.67939E-41	1.153522814	0.312	0.001	InnateLymphoid	1.158287124	2.078230406
Gm4149	2.79886E-41	1.470196557	0.641	0.159	InnateLymphoid	1.826615832	2.212342384
Cd44	8.87018E-41	1.197972875	0.328	0.002	InnateLymphoid	1.205941085	2.095699418
Ifng	1.56636E-40	0.886101047	0.234	0	InnateLymphoid	0.886131152	1.957711751
Rps15	2.88137E-40	1.305369577	0.938	0.65	InnateLymphoid	3.015672186	3.077142701
Bcl2	2.35172E-39	1.298079955	0.406	0.007	InnateLymphoid	1.328691623	2.058406335
Tmem154	3.23156E-39	0.923305922	0.266	0.001	InnateLymphoid	0.925435854	1.90709883
Cd27	6.641E-39	1.106544829	0.312	0.012	InnateLymphoid	1.1274936	2.038789225
Gimap8	1.29714E-38	1.221166334	0.297	0.002	InnateLymphoid	1.227379475	2.211079352
Rps13	3.42661E-38	1.149496605	0.969	0.728	InnateLymphoid	3.146789525	3.177193885
Epsti1	2.8018E-37	1.15627104	0.438	0.152	InnateLymphoid	1.391386099	2.067345504
Wipf1	8.95977E-37	1.314645491	0.422	0.012	InnateLymphoid	1.364412909	2.067608801
Lfng	1.68948E-36	0.915202246	0.297	0.002	InnateLymphoid	0.924825807	1.812348307
Rps25	3.85708E-36	1.016741877	0.953	0.744	InnateLymphoid	2.984045672	3.029680774
Cd7	1.30056E-35	1.028042729	0.234	0.002	InnateLymphoid	1.031137624	2.163110507
Esyt1	1.26206E-34	0.930878028	0.344	0.005	InnateLymphoid	0.949940173	1.725000449
Tln1	4.43857E-34	1.255377691	0.641	0.346	InnateLymphoid	1.9898913	2.38482412
Itgal	4.53445E-34	0.8320285	0.25	0.002	InnateLymphoid	0.836169478	1.82938343
Rasal3	4.76699E-34	0.91389423	0.297	0.025	InnateLymphoid	0.947677865	1.843898943
Rps28	5.79292E-34	1.118629078	0.969	0.701	InnateLymphoid	3.040765166	3.07101905
Rpl12	7.79519E-34	1.278579214	0.938	0.654	InnateLymphoid	3.030194378	3.091709192
Sh2d2a	9.64455E-34	0.925087514	0.234	0.001	InnateLymphoid	0.926865547	2.016687633
Rpl27a	1.50267E-33	1.299714336	0.828	0.52	InnateLymphoid	2.581074079	2.756570206
Hnrnpa3	6.17148E-33	1.336109204	0.797	0.447	InnateLymphoid	2.455498023	2.664969465
Sytl2	1.12088E-32	0.883087889	0.219	0.013	InnateLymphoid	0.89775925	2.034353273
Osbpl3	2.65163E-32	1.170757916	0.266	0.005	InnateLymphoid	1.181381008	2.251711426
AI662270	3.65825E-32	1.011061572	0.281	0.003	InnateLymphoid	1.0209512	1.989800714
P2ry10	4.55238E-32	1.148072092	0.219	0	InnateLymphoid	1.149973625	2.38560588
Cd28	2.52893E-31	0.779602511	0.234	0.001	InnateLymphoid	0.782399023	1.802254918
Dock2	3.11628E-31	0.938792704	0.297	0.038	InnateLymphoid	0.988774622	1.899969167
Bcl2a1b	3.60271E-31	0.971130635	0.25	0.002	InnateLymphoid	0.976213674	2.030454437
Btg1	4.2156E-31	1.421271512	0.734	0.324	InnateLymphoid	2.190865955	2.469449239
Gm4955	4.80191E-31	0.840444023	0.219	0.001	InnateLymphoid	0.842290917	1.951887134
Cd69	4.93348E-31	0.932246433	0.219	0.001	InnateLymphoid	0.934682052	2.088063526
Rpl37	6.58906E-31	1.041442001	0.969	0.729	InnateLymphoid	3.022576114	3.05280254
Dennd2d	7.51223E-31	0.911535246	0.25	0.002	InnateLymphoid	0.916912573	1.946798375
Rpl8	1.18856E-30	1.014943367	0.969	0.758	InnateLymphoid	3.045172318	3.075432781
Klk8	1.27894E-30	0.770416579	0.234	0.001	InnateLymphoid	0.775249545	1.791232294
Adgre5	1.44032E-30	0.941975606	0.328	0.007	InnateLymphoid	0.969362374	1.789541379
Samsn1	2.58913E-30	0.933131318	0.234	0.003	InnateLymphoid	0.939647585	2.034976475
Cd82	3.37425E-30	1.073446613	0.328	0.013	InnateLymphoid	1.106930925	1.970130374
RP24-500I24.7	3.78685E-30	0.772986973	0.234	0.001	InnateLymphoid	0.776611295	1.793335053
Dennd1c	3.88317E-30	0.822150216	0.219	0.001	InnateLymphoid	0.824277972	1.924613151
Gm9843	6.87886E-30	1.303338312	0.609	0.241	InnateLymphoid	1.843379246	2.274877886
Pydc3	2.23676E-29	0.82429204	0.219	0.001	InnateLymphoid	0.826724447	1.928332327
Myo1f	2.39002E-29	0.733754123	0.219	0.001	InnateLymphoid	0.737251552	1.789037944
Dok2	3.81221E-29	0.940558219	0.281	0.007	InnateLymphoid	0.960010532	1.906660452
Leprotl1	1.75994E-28	1.202215312	0.547	0.12	InnateLymphoid	1.487464199	1.982989339
Zbp1	2.55914E-28	0.749842263	0.234	0.003	InnateLymphoid	0.75635033	1.761885798
Rpl30	3.77861E-28	1.034802775	0.938	0.666	InnateLymphoid	2.809466247	2.870232842
Gbp8	4.69984E-28	0.928254711	0.234	0.006	InnateLymphoid	0.93920969	2.034351585
Tap2	4.84458E-28	1.044424347	0.312	0.007	InnateLymphoid	1.072122831	1.966978051
Atp8b4	6.43878E-28	0.933261126	0.219	0.002	InnateLymphoid	0.938832718	2.094045774
Pdcd4	1.01534E-27	1.119799562	0.75	0.501	InnateLymphoid	2.387008567	2.651446526
Glipr2	1.19032E-27	0.850051469	0.312	0.012	InnateLymphoid	0.875712787	1.70144711
Tap1	1.63668E-27	0.859001078	0.281	0.004	InnateLymphoid	0.879055389	1.793164952
Aim2	1.95266E-27	0.879724188	0.234	0.002	InnateLymphoid	0.885764401	1.957175812
Gm11478	6.35401E-27	1.3664687	0.609	0.152	InnateLymphoid	1.784039277	2.211500707
Coro7	2.95747E-26	0.951437946	0.359	0.036	InnateLymphoid	1.018702703	1.779029248
Slfn8	3.99221E-26	0.919855152	0.25	0.009	InnateLymphoid	0.936835767	1.975132608
Acap1	4.07831E-26	0.873447797	0.281	0.009	InnateLymphoid	0.894178182	1.814651206
Wdr89	5.14338E-26	1.240807844	0.656	0.2	InnateLymphoid	1.76060554	2.120895679
Prex1	2.01655E-25	1.039278214	0.281	0.022	InnateLymphoid	1.08458687	2.074749413
Gm10269	4.03589E-25	1.142779655	0.422	0.061	InnateLymphoid	1.298083984	1.989321651
Rpl28	4.78012E-25	1.031051487	0.844	0.55	InnateLymphoid	2.308974047	2.463225811
Flt3l	1.02931E-24	0.887061937	0.25	0.004	InnateLymphoid	0.901730116	1.925043777
Rps13-ps2	1.5149E-24	1.083965571	0.469	0.101	InnateLymphoid	1.294995315	1.895431798
Pstpip1	2.08872E-24	0.822518012	0.266	0.008	InnateLymphoid	0.842463172	1.787959078
Capg	2.11295E-24	1.315087828	0.312	0.02	InnateLymphoid	1.394156407	2.370340076
Grap2	2.87236E-24	0.744263178	0.234	0.009	InnateLymphoid	0.760948768	1.769054522
Rps16-ps2	3.97614E-24	1.18984479	0.5	0.096	InnateLymphoid	1.45161579	2.020224405
Zap70	6.33084E-24	0.72202205	0.219	0.007	InnateLymphoid	0.732686216	1.781737774
Diap1	1.36983E-23	1.165457117	0.406	0.131	InnateLymphoid	1.436484026	2.18508473
Fam189b	1.81189E-23	0.944207944	0.297	0.014	InnateLymphoid	0.984589634	1.894297425
Gbp6	3.10738E-23	0.856815125	0.234	0.004	InnateLymphoid	0.87733809	1.944837203
H2-T22	5.55477E-23	0.879129609	0.297	0.01	InnateLymphoid	0.922377609	1.808951799
Rpl37rt	1.50958E-22	1.033133516	0.5	0.166	InnateLymphoid	1.375521946	1.9335893
Clec2d	1.88541E-22	0.819690576	0.25	0.004	InnateLymphoid	0.839415587	1.834188911
Rpl7a	6.54826E-22	1.04633053	0.844	0.541	InnateLymphoid	2.429420016	2.585459719
Rpl18	7.23812E-22	0.875303031	0.922	0.668	InnateLymphoid	2.578856873	2.654258266
Tmem173	7.41086E-22	0.722816912	0.219	0.004	InnateLymphoid	0.735248424	1.785837314
F2r	8.2624E-22	0.860848737	0.219	0.004	InnateLymphoid	0.874060028	1.999390701
Ezr	9.06314E-22	1.089750672	0.406	0.053	InnateLymphoid	1.253010523	1.967948259
Ywhaz	1.35015E-21	1.032513855	0.672	0.333	InnateLymphoid	1.804308544	2.146472976
Rapgef6	3.2492E-21	1.171439555	0.531	0.235	InnateLymphoid	1.721647213	2.266650148
Elf1	3.86291E-21	1.163029935	0.406	0.069	InnateLymphoid	1.375474948	2.113681119
Gm10288	3.88834E-21	0.957904427	0.422	0.091	InnateLymphoid	1.143363383	1.80273217
Gm13436	4.64708E-21	0.997303509	0.391	0.062	InnateLymphoid	1.157344405	1.8847293
Gm15427	6.09056E-21	1.012272524	0.438	0.102	InnateLymphoid	1.262128893	1.915386889
Gm5963	7.04776E-21	1.020803001	0.484	0.112	InnateLymphoid	1.315386447	1.891343025
Rps27rt	1.23866E-20	0.873234704	0.344	0.05	InnateLymphoid	0.976477357	1.760406054
Gpsm3	2.31792E-20	0.796840099	0.281	0.01	InnateLymphoid	0.831408254	1.724543172
Set	3.54938E-20	1.010674036	0.578	0.325	InnateLymphoid	1.763397942	2.236278275
Tapbpl	4.8543E-20	0.918606739	0.266	0.028	InnateLymphoid	0.980569957	1.98401857
Ddx6	7.00836E-20	1.107416179	0.625	0.244	InnateLymphoid	1.768470502	2.172363556
Tpt1-ps3	8.72207E-20	1.141469421	0.453	0.107	InnateLymphoid	1.409357365	2.057534087
Def6	9.42136E-20	0.760699352	0.234	0.011	InnateLymphoid	0.789394803	1.812999558
Arhgef1	1.49184E-19	0.954244188	0.312	0.021	InnateLymphoid	1.035027168	1.918184271
Gm15500	1.53095E-19	0.957868247	0.375	0.064	InnateLymphoid	1.118366129	1.8707147
Slc9a3r1	1.88046E-19	0.86077686	0.328	0.074	InnateLymphoid	1.008861731	1.842200303
Ifi47	2.69916E-19	0.867959294	0.219	0.004	InnateLymphoid	0.887759208	2.019648552
B4galnt1	4.06453E-19	0.902023309	0.266	0.032	InnateLymphoid	0.96812562	1.966802092
Cers4	6.09245E-19	0.771641307	0.266	0.012	InnateLymphoid	0.820932077	1.756310013
Socs1	7.90631E-19	1.061205753	0.281	0.039	InnateLymphoid	1.162094383	2.175911138
Rab27a	1.48681E-18	0.819904294	0.312	0.094	InnateLymphoid	0.980041665	1.844765374
RP23-263B18.4	2.47738E-18	0.874505672	0.422	0.177	InnateLymphoid	1.252512535	1.934971759
Nbeal2	5.04461E-18	0.796159226	0.234	0.008	InnateLymphoid	0.824163648	1.865817937
Arhgap15	5.3919E-18	0.834252377	0.25	0.032	InnateLymphoid	0.899354193	1.921626352
Mob3a	5.81612E-18	0.769234107	0.25	0.035	InnateLymphoid	0.831120922	1.821894683
Rps23-ps1	6.66724E-18	0.961472552	0.328	0.074	InnateLymphoid	1.109390184	1.973290685
Rpl36a-ps2	1.06785E-17	0.917504642	0.344	0.03	InnateLymphoid	1.027942634	1.828206615
Acp5	1.21592E-17	0.796194473	0.234	0.009	InnateLymphoid	0.828068018	1.871690494
Sec11c	1.75222E-17	1.016754537	0.5	0.22	InnateLymphoid	1.528515071	2.106892358
Atp5l	1.97915E-17	0.785719926	0.328	0.06	InnateLymphoid	0.912883862	1.712989607
Crot	2.37472E-17	1.037609971	0.375	0.057	InnateLymphoid	1.226120244	2.004352166
Thrap3	3.99765E-17	0.977064147	0.656	0.315	InnateLymphoid	1.826009774	2.190269075
Xlr4b	4.94221E-17	0.814848299	0.234	0.009	InnateLymphoid	0.853925559	1.910296362
Cap1	5.48439E-17	0.883873925	0.406	0.164	InnateLymphoid	1.219363001	1.927287099
Apobec3	5.98354E-17	0.792465953	0.25	0.013	InnateLymphoid	0.85871237	1.862602932
Rassf5	7.20946E-17	0.710544426	0.234	0.008	InnateLymphoid	0.745247646	1.744500618
Dock8	7.21622E-17	0.802220633	0.234	0.01	InnateLymphoid	0.84093569	1.890963726
Dtx3l	1.00862E-16	0.847108714	0.219	0.009	InnateLymphoid	0.874633803	2.000241856
mmu-mir-703	1.52393E-16	0.858285035	0.391	0.166	InnateLymphoid	1.17055626	1.901045864
Stk4	1.70763E-16	0.867966851	0.375	0.142	InnateLymphoid	1.180073641	1.94766627
Gm10689	2.06843E-16	0.903945981	0.359	0.096	InnateLymphoid	1.105311623	1.890296259
Trim12a	2.35237E-16	0.718831587	0.219	0.007	InnateLymphoid	0.753178758	1.814351967
Gm4604	3.26335E-16	0.747884306	0.312	0.099	InnateLymphoid	0.94129608	1.79218685
Tpst2	5.2786E-16	0.829678703	0.297	0.031	InnateLymphoid	0.919967058	1.805604367
Cd247	8.18211E-16	0.723064961	0.266	0.059	InnateLymphoid	0.823529957	1.760145775
Cytip	8.41658E-16	0.855298438	0.234	0.01	InnateLymphoid	0.907154136	1.98828342
Rpl31-ps8	9.39554E-16	0.900733749	0.312	0.085	InnateLymphoid	1.080509212	1.977931115
Gm10275	1.06528E-15	0.87494501	0.328	0.09	InnateLymphoid	1.088629097	1.946540992
Gm10736	1.91545E-15	0.980152875	0.438	0.176	InnateLymphoid	1.404233607	2.082267398
Rpl38-ps2	3.49841E-15	0.850926925	0.391	0.142	InnateLymphoid	1.142275176	1.866056388
Klf13	5.11992E-15	0.778233142	0.266	0.04	InnateLymphoid	0.893129913	1.861220171
Rps26	8.25162E-15	0.757697955	0.984	0.748	InnateLymphoid	2.957292366	2.972228528
Ctcf	8.67876E-15	0.842207528	0.484	0.212	InnateLymphoid	1.363185672	1.94661039
Rbpj	9.45244E-15	1.020355232	0.266	0.034	InnateLymphoid	1.142983627	2.201861718
Zc3hav1	9.5125E-15	0.813852404	0.266	0.02	InnateLymphoid	0.88884339	1.855085364
Gm6274	1.38321E-14	0.731370783	0.25	0.03	InnateLymphoid	0.801020522	1.776857856
Rpl39-ps	1.82257E-14	0.71507814	0.219	0.01	InnateLymphoid	0.753047984	1.814145082
Hnrnpd	2.7782E-14	0.859971076	0.594	0.342	InnateLymphoid	1.65366751	2.094042125
Cdkn2aipnl	5.18297E-14	0.757245102	0.281	0.077	InnateLymphoid	0.914617177	1.843477048
Rps26-ps1	6.95735E-14	0.811877337	0.328	0.081	InnateLymphoid	0.987116236	1.813295926
Khdrbs1	9.08621E-14	0.865882093	0.547	0.271	InnateLymphoid	1.573589395	2.078482717
Rps24-ps3	1.27983E-13	0.761575183	0.344	0.1	InnateLymphoid	0.977177621	1.761336119
Gabpb2	1.5731E-13	1.007335979	0.328	0.065	InnateLymphoid	1.229426077	2.12501259
Pim1	1.72942E-13	1.028382537	0.328	0.07	InnateLymphoid	1.256039773	2.158028289
Stk38	2.23919E-13	0.84340024	0.406	0.153	InnateLymphoid	1.214908813	1.92188287
Serbp1	2.65114E-13	0.792996288	0.922	0.658	InnateLymphoid	2.720594394	2.796783354
Uba52	6.21054E-13	0.774431568	0.531	0.212	InnateLymphoid	1.415968232	1.927721974
Sf3b1	6.41319E-13	0.793138036	0.703	0.438	InnateLymphoid	2.024740552	2.336976467
Cdc42se2	1.85837E-12	0.945260834	0.344	0.065	InnateLymphoid	1.198325178	2.045531578
Rpl14-ps1	1.8999E-12	0.807779336	0.359	0.075	InnateLymphoid	1.070072112	1.845353421
Prkx	2.4135E-12	0.850842114	0.266	0.029	InnateLymphoid	0.958001706	1.952734673
Lbr	2.97658E-12	0.802798273	0.312	0.082	InnateLymphoid	1.005463442	1.878877957
Naa10	3.93522E-12	0.726960359	0.234	0.019	InnateLymphoid	0.804598063	1.836212738
Rsbn1l	6.02529E-12	0.892935877	0.422	0.199	InnateLymphoid	1.416664864	2.128646593
Gm8430	6.24787E-12	0.778947539	0.328	0.09	InnateLymphoid	1.01009093	1.843828031
Me2	8.29731E-12	0.763413338	0.312	0.09	InnateLymphoid	1.021234203	1.899893525
Ccnd3	1.00021E-11	0.812291681	0.438	0.222	InnateLymphoid	1.332283465	1.998289474
Twf2	2.67443E-11	0.695215779	0.266	0.028	InnateLymphoid	0.819605019	1.75434878
Prpf4b	2.94871E-11	0.710784767	0.469	0.215	InnateLymphoid	1.338713719	1.946408097
Nsd1	3.3771E-11	0.793301576	0.438	0.159	InnateLymphoid	1.29323554	1.952276654
Sh3kbp1	9.96566E-11	0.897751579	0.484	0.189	InnateLymphoid	1.457219857	2.054191217
Gm5805	1.58086E-10	0.822869283	0.391	0.164	InnateLymphoid	1.190839636	1.92599841
Rbm34	2.80592E-10	0.877847623	0.328	0.103	InnateLymphoid	1.196333875	2.083658256
Esyt2	2.85395E-10	0.73986325	0.297	0.096	InnateLymphoid	0.987318463	1.897996651
Zc3h7a	7.7001E-10	0.720728228	0.422	0.192	InnateLymphoid	1.231292651	1.909498118
Snrnp70	1.0436E-09	0.726645801	0.594	0.385	InnateLymphoid	1.727922755	2.174311251
Arf5	1.62413E-09	0.702206651	0.375	0.174	InnateLymphoid	1.138167143	1.895535809
Snrpd3	2.38402E-09	0.749586071	0.516	0.315	InnateLymphoid	1.602440928	2.162168685
Xrn1	3.48064E-09	0.697626217	0.359	0.136	InnateLymphoid	1.060192026	1.832673419
Rora	4.62245E-09	0.847430469	0.328	0.112	InnateLymphoid	1.213752017	2.105467756
Csnk2a1	5.61791E-09	0.763718882	0.312	0.107	InnateLymphoid	1.108883796	2.014784964
Tcea1	8.73968E-09	0.706621156	0.375	0.14	InnateLymphoid	1.13061799	1.88608742
Itsn2	6.42849E-08	0.761577124	0.406	0.195	InnateLymphoid	1.345215032	2.07798262
Cetn2	9.30231E-08	0.694967348	0.328	0.104	InnateLymphoid	1.038493572	1.881261512
Lyz2	0	4.357488413	0.921	0.006	Macrophage	4.388017328	4.469477213
C1qb	0	3.381230448	0.928	0.028	Macrophage	3.460297405	3.532695914
F13a1	0	2.988517253	0.791	0.019	Macrophage	3.020783982	3.244551875
C1qc	2.793733719661e-318	3.379211192	0.892	0.002	Macrophage	3.390990595	3.501542318
Ctss	1.62452534804919e-315	3.031719688	0.914	0.002	Macrophage	3.043516344	3.129679565
C1qa	0	2.926618067	0.871	0.002	Macrophage	2.931804979	3.063562181
Pf4	8.034E-290	3.384925521	0.827	0.002	Macrophage	3.393378353	3.577102696
Tyrobp	2.9036E-286	2.484678067	0.842	0.001	Macrophage	2.490420284	2.649516569
Fcer1g	8.0122E-263	2.592612513	0.863	0.005	Macrophage	2.615634701	2.7525716
Cbr2	1.0152E-261	2.735335702	0.77	0.001	Macrophage	2.740849252	2.987530451
Csf1r	3.0086E-261	2.263682241	0.799	0.002	Macrophage	2.270517801	2.474441845
Ctsc	8.1382E-261	2.391584193	0.82	0.006	Macrophage	2.406663082	2.588597959
Wfdc17	1.0947E-260	2.920911198	0.784	0.002	Macrophage	2.930324033	3.161862398
Ms4a7	2.3373E-253	2.48245078	0.741	0.001	Macrophage	2.485670499	2.763613239
H2-Ab1	5.4051E-252	3.268151219	0.59	0.053	Macrophage	3.386089016	3.899869364
Cx3cr1	1.4546E-226	2.264116574	0.698	0.006	Macrophage	2.276397217	2.604651375
Ly86	1.747E-218	1.87172575	0.683	0.001	Macrophage	1.875272815	2.206121919
